"Extension Number","SIP Password","Extension Name",Email,Language,Status,"Web Password",Group,"Is Phonebook",Timezone,"Bypass Media","External CallerID",DID,"Max Calls",Forwarding,"Ring Timeout(Sec)","Dial Timeout(sec.)","Max Timeout(sec.)","Video Calling","Auto Recording","DTMF Type","Multiple Registration","Dial Out","Voice Mail","Voice Mail Password",Fax,"Audio Codecs","Video Codecs","Enable SMS","SMS Caller ID","Instant Messaging","KaleyraPhone Status","KaleyraPhone Username"
1312344,Abcd@123,"Ext Name",johndoe@mailinator.com,English,Active,Test@123,grp1,Yes,America/Argentina/Jujuy,No,,"3333333333,+918062439591",1,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,,Enabled,PCMA,,Inactive,,Inactive,Inactive,1312344@ucpbx4qa
23123123,3DY4)usV?Fd?,ext23123123,test@gmail.com,English,Active,{hUmZY&9drhr,grp1,Yes,Africa/Abidjan,No,,,2,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,5881443994,Enabled,PCMA,,Inactive,,Inactive,Inactive,23123123@ucpbx4qa
1234322,Abcd@123,ExtName,deepali@gmail.com,English,Active,Test@123,grp1,Yes,America/Argentina/Jujuy,No,,,1,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,123456,Enabled,PCMA,VP8,Inactive,,Inactive,Inactive,1234322@ucpbx4qa
888,PqS#05K0kna},ewwewe,sdsdsd@gmail.com,English,Active,X&W7g(r6JPVy,grp1,Yes,Africa/Abidjan,No,,,1,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,0321417099,Enabled,PCMA,,Inactive,,Inactive,Inactive,888@ucpbx4qa
232323,(w3G6FKp4H(m,dfddfdf,sdsdsdsdsnnn@gmail.com,English,Active,Iwy($)}q4FXx,grp1,Yes,Africa/Abidjan,No,,,1,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,2337075379,Enabled,"PCMA,PCMU,G722,GSM,G729,OPUS",,Inactive,,Inactive,Inactive,232323@ucpbx4qa
23232323,#%Q&mDWu01Bw,cvcvcv,aaaa@gmail.com,English,Active,D#?YTmeX2v8N,grp1,Yes,Africa/Abidjan,No,,,1,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,6476716929,Enabled,PCMA,,Inactive,,Inactive,Inactive,23232323@ucpbx4qa
343434,s{cJtnNlWV*9,sdsfdfd,x@gmail.com,English,Active,$%AhH0nl&Boo,grp1,Yes,Africa/Abidjan,No,,,1,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Disabled,Active,Inactive,7600209670,Enabled,"PCMA,PCMU,G722,GSM,G729,OPUS",,Inactive,,Inactive,Inactive,343434@ucpbx4qa
6001,Admin@123,EXT6001,test1@gmail.com,English,Active,TA5w(%YjFNAy,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9591550478,Enabled,PCMA,,Inactive,,Inactive,Inactive,6001@ucpbx4qa
673878,Admin@123,EXT1780294573878,ext1780294573878@testmail.com,English,Active,)j&S$s$Iwa58,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,6974115271,Enabled,PCMA,,Inactive,,Inactive,Inactive,673878@ucpbx4qa
695702,Admin@123,EXT1780294995702,ext1780294995702@testmail.com,English,Active,CNO$824QuOnT,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,2213432382,Enabled,PCMA,,Inactive,,Inactive,Inactive,695702@ucpbx4qa
652425,Admin@123,EXT1780296152425,ext1780296152425@testmail.com,English,Active,ALfam02B$)CK,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,6239086213,Enabled,PCMA,,Inactive,,Inactive,Inactive,652425@ucpbx4qa
620403,Admin@123,EXT1780296920403,ext1780296920403@testmail.com,English,Active,$ZyEYTOT6QRt,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,4927886340,Enabled,PCMA,,Inactive,,Inactive,Inactive,620403@ucpbx4qa
624628,Admin@123,EXT1780297824628,ext1780297824628@testmail.com,English,Active,KZZlOCU53t&j,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9904476365,Enabled,PCMA,,Inactive,,Inactive,Inactive,624628@ucpbx4qa
638726,Admin@123,EXT1780298338726,ext1780298338726@testmail.com,English,Active,ajAj3VIxO$$d,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,7135546157,Enabled,PCMA,,Inactive,,Inactive,Inactive,638726@ucpbx4qa
600278,Admin@123,EXT1780298900278,ext1780298900278@testmail.com,English,Active,&Y#cWDLZYB1I,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,0300295756,Enabled,PCMA,,Inactive,,Inactive,Inactive,600278@ucpbx4qa
602949,Admin@123,EXT1780299102949,ext1780299102949@testmail.com,English,Active,CY7T$q0g$Hvs,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9084756710,Enabled,PCMA,,Inactive,,Inactive,Inactive,602949@ucpbx4qa
694344,Admin@123,EXT1780299294344,ext1780299294344@testmail.com,English,Active,4BHwsa)o7t%{,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,6935458902,Enabled,PCMA,,Inactive,,Inactive,Inactive,694344@ucpbx4qa
662388,Admin@123,EXT1780299562388,ext1780299562388@testmail.com,English,Active,o2{Qd}sakuiP,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,0514488210,Enabled,PCMA,,Inactive,,Inactive,Inactive,662388@ucpbx4qa
652907,Admin@123,EXT1780299952907,ext1780299952907@testmail.com,English,Active,$Mi%nOjPM8p$,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,4073007355,Enabled,PCMA,,Inactive,,Inactive,Inactive,652907@ucpbx4qa
641161,Admin@123,EXT1780300241161,ext1780300241161@testmail.com,English,Active,HKRYz71n%6)},grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9707712058,Enabled,PCMA,,Inactive,,Inactive,Inactive,641161@ucpbx4qa
605776,Admin@123,EXT1780300605776,ext1780300605776@testmail.com,English,Active,33lXZ%lVJUEo,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,6722732708,Enabled,PCMA,,Inactive,,Inactive,Inactive,605776@ucpbx4qa
615637,Admin@123,EXT1780300815637,ext1780300815637@testmail.com,English,Active,m3!RJR*7ds(k,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,3917946821,Enabled,PCMA,,Inactive,,Inactive,Inactive,615637@ucpbx4qa
688561,Admin@123,EXT1780300988561,ext1780300988561@testmail.com,English,Active,IaKm4$@@AtS(,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,7270185318,Enabled,PCMA,,Inactive,,Inactive,Inactive,688561@ucpbx4qa
623217,Admin@123,EXT1780302923217,ext1780302923217@testmail.com,English,Active,wbsIB4EE?9*j,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,8640875449,Enabled,PCMA,,Inactive,,Inactive,Inactive,623217@ucpbx4qa
683783,Admin@123,EXT1780303383783,ext1780303383783@testmail.com,English,Active,W{n4m7Q8zIlE,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,4585175887,Enabled,PCMA,,Inactive,,Inactive,Inactive,683783@ucpbx4qa
670408,Admin@123,EXT1780303570408,ext1780303570408@testmail.com,English,Active,$ul$sa#Y1lW5,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,7028355838,Enabled,PCMA,,Inactive,,Inactive,Inactive,670408@ucpbx4qa
622027,Admin@123,EXT1780304922027,ext1780304922027@testmail.com,English,Active,$K*qsAFV1xdY,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,1533368920,Enabled,PCMA,,Inactive,,Inactive,Inactive,622027@ucpbx4qa
604079,Admin@123,EXT1780305104079,ext1780305104079@testmail.com,English,Active,4AG*$c*Ij{Q#,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9857097999,Enabled,PCMA,,Inactive,,Inactive,Inactive,604079@ucpbx4qa
